rank,name,count,,
785,BERGER,"43,851",,
786,MCINTYRE,"43,842",,
787,BLANKENSHIP,"43,830",,
788,GAINES,"43,821",,
789,PALACIOS,"43,798",,
790,CUEVAS,"43,701",,
791,BARTLETT,"43,648",,
792,DURHAM,"43,635",,
793,DORSEY,"43,631",,
794,MCCALL,"43,483",,
795,ODONNELL,"43,460",,
796,STEIN,"43,389",,
797,BROWNING,"43,329",,
798,STOUT,"43,305",,
799,LOWERY,"43,278",,
800,SLOAN,"43,261",,
801,MCLEAN,"43,260",,
802,HENDRICKS,"43,197",,
803,CALHOUN,"43,180",,
804,SEXTON,"43,133",,
805,CHUNG,"43,110",,
806,GENTRY,"43,027",,
807,HULL,"43,018",,
808,DUARTE,"42,983",,
809,ELLISON,"42,827",,
810,NIELSEN,"42,773",,
811,GILLESPIE,"42,693",,
812,BUCK,"42,639",,
813,MIDDLETON,"42,578",,
814,SELLERS,"42,577",,
815,LEBLANC,"42,575",,
816,ESPARZA,"42,559",,
817,HARDIN,"42,469",,
818,BRADSHAW,"42,465",,
819,MCINTOSH,"42,379",,
820,HOWE,"42,265",,
821,LIVINGSTON,"42,103",,
822,FROST,"42,015",,
823,GLASS,"41,802",,
824,MORSE,"41,774",,
825,KNAPP,"41,771",,
826,HERMAN,"41,750",,
827,STARK,"41,735",,
828,BRAVO,"41,700",,
829,NOBLE,"41,667",,
830,SPEARS,"41,665",,
831,WEEKS,"41,565",,
832,CORONA,"41,553",,
833,FREDERICK,"41,394",,
834,BUCKLEY,"41,348",,
835,MCFARLAND,"41,300",,
836,HEBERT,"41,275",,
837,ENRIQUEZ,"41,271",,
838,HICKMAN,"41,163",,
839,QUINTERO,"41,158",,
840,RANDOLPH,"41,129",,
841,SCHAEFER,"41,063",,
842,WALLS,"41,025",,
843,TREJO,"41,021",,
844,HOUSE,"41,000",,
845,REILLY,"40,884",,
846,PENNINGTON,"40,854",,
847,MICHAEL,"40,736",,
848,CONRAD,"40,707",,
849,GILES,"40,598",,
850,BENJAMIN,"40,590",,
851,CROSBY,"40,563",,
852,FITZPATRICK,"40,449",,
853,DONOVAN,"40,410",,
854,MAYS,"40,408",,
855,MAHONEY,"40,397",,
856,VALENTINE,"40,395",,
857,RAYMOND,"40,275",,
858,MEDRANO,"40,261",,
859,HAHN,"40,250",,
860,MCMILLAN,"40,237",,
861,SMALL,"40,212",,
862,BENTLEY,"40,193",,
863,FELIX,"40,165",,
864,PECK,"40,055",,
865,LUCERO,"39,986",,
866,BOYLE,"39,921",,
867,HANNA,"39,890",,
868,PACE,"39,879",,
869,RUSH,"39,802",,
870,HURLEY,"39,796",,
871,HARDING,"39,787",,
872,MCCONNELL,"39,754",,
873,BERNAL,"39,693",,
874,NAVA,"39,670",,
875,AYERS,"39,623",,
876,EVERETT,"39,593",,
877,VENTURA,"39,580",,
878,AVERY,"39,564",,
879,PUGH,"39,559",,
880,MAYER,"39,555",,
881,BENDER,"39,551",,
882,SHEPARD,"39,430",,
883,MCMAHON,"39,411",,
884,LANDRY,"39,391",,
885,CASE,"39,319",,
886,SAMPSON,"39,277",,
887,MOSES,"39,216",,
888,MAGANA,"39,105",,
889,BLACKBURN,"39,097",,
890,DUNLAP,"39,063",,
891,GOULD,"38,924",,
892,DUFFY,"38,835",,
893,VAUGHAN,"38,830",,
894,HERRING,"38,733",,
895,MCKAY,"38,681",,
896,ESPINOSA,"38,667",,
897,RIVERS,"38,662",,
898,FARLEY,"38,528",,
899,BERNARD,"38,512",,
900,ASHLEY,"38,499",,
